Date,Open,High,Low,Close,%Change
03-11-1995,994.2,1000.91,992.69,1000,0.58%
06-11-1995,1001.53,1001.53,988.92,988.92,-1.28%
07-11-1995,987.17,987.17,977.05,978.22,-0.91%
08-11-1995,976.28,976.28,962.98,964.01,-1.27%
09-11-1995,960.32,960.32,952.13,953.07,-0.76%
10-11-1995,951.93,951.93,946,948.82,-0.33%
13-11-1995,949.29,949.29,916.48,917.26,-3.49%
14-11-1995,916.66,916.66,897.52,902.56,-1.56%
15-11-1995,901.33,913.54,901.33,913.21,1.30%
16-11-1995,915.96,915.96,900.83,904.08,-1.31%
17-11-1995,898.72,900.41,885.31,898.86,0.02%
20-11-1995,896.27,898.86,892.05,892.79,-0.39%
21-11-1995,891.96,891.96,876,876.59,-1.75%
22-11-1995,878,878,856.92,864.42,-1.57%
23-11-1995,856.2,856.2,842.33,849.5,-0.79%
24-11-1995,849.6,874.97,849.6,871.11,2.47%
27-11-1995,871.94,878.58,858.93,861.25,-1.24%
28-11-1995,854.5,854.5,841.44,843.68,-1.28%
29-11-1995,845.36,845.36,822.54,845.12,-0.03%
30-11-1995,840.87,863.98,838.36,862.1,2.46%
01-12-1995,867.99,877.41,866.37,873.05,0.58%
04-12-1995,870.29,873.05,861.97,863.7,-0.76%
05-12-1995,860.02,867.59,854.47,866.52,0.75%
06-12-1995,870.39,878.93,868.12,878.93,0.97%
07-12-1995,881.97,901.25,881.97,898.62,1.85%
08-12-1995,900.28,908.12,886.54,887.12,-1.48%
11-12-1995,882.58,882.58,874.37,877.41,-0.59%
12-12-1995,878.99,880.08,875.43,879.49,0.06%
13-12-1995,881.3,889.26,881.3,889.26,0.90%
14-12-1995,890.81,891.98,884.31,884.34,-0.73%
15-12-1995,876.95,883.85,875.5,883.41,0.73%
18-12-1995,883.29,883.58,881.17,882.63,-0.07%
19-12-1995,882.35,884.19,879.54,883.72,0.16%
20-12-1995,883.68,887.19,883.68,885.53,0.21%
21-12-1995,888.25,900.5,887.73,900.5,1.36%
22-12-1995,900.86,906.63,899.38,900.65,-0.02%
26-12-1995,899.87,906.47,898.41,905.33,0.60%
27-12-1995,908.81,923.09,908.81,922.5,1.48%
28-12-1995,923.67,927.6,913.76,914.55,-1.00%
29-12-1995,912.72,912.72,906.32,908.53,-0.46%
01-01-1996,913.11,913.11,906.15,908.01,-0.56%
02-01-1996,906.78,906.78,899.52,900.38,-0.71%
03-01-1996,901.66,904.48,895.48,895.96,-0.64%
04-01-1996,891.37,891.37,884.1,889.67,-0.19%
